"","AAPL","MSFT","GOOGL","NKE","KO","TSLA","JNJ","V","GS","NFLX","AMT"
"85",24.843279,52.692883,39.57,54.785076,35.1856,13.384667,100.992882,77.956924,149.912552,97.379997,100.289551
"86",24.005306,51.430222,39.424,51.780975,34.309006,12.964667,100.271973,77.985718,149.965958,96.5,97.091072
"87",26.749641,52.381794,39.898499,51.640594,34.482933,13.693333,100.288918,78.695267,147.679581,99.480003,95.161377
"88",26.235224,52.546486,40.748001,51.612514,34.973911,13.83,100.763893,79.145935,146.90564,95.940002,99.558197
"89",26.314365,52.702034,40.202999,49.272877,34.630222,13.602,100.187157,79.299355,143.471573,98.550003,100.348038
"90",26.549465,52.885021,40.0355,48.46804,34.147427,13.107333,101.128563,79.471977,151.086884,104.82,96.080147
"91",27.380442,52.537327,40.23,48.308949,34.098331,13.100667,99.703743,79.059608,151.700745,101.470001,100.365746
"92",27.140688,54.586868,41.202999,48.449318,34.474754,13.339333,96.209549,78.963745,155.392731,127.5,102.455391
"93",26.470324,54.778992,40.978001,48.683296,34.556576,13.331333,97.812462,78.839096,157.590164,126.57,102.827278
"94",25.464487,53.717644,39.055,46.755417,34.114704,12.704,97.62587,77.055573,156.504761,122.029999,100.038132
"95",25.368567,54.001282,38.587502,47.513454,33.574631,12.570667,100.47554,78.513069,181.432343,114.779999,93.600906
"96",25.749926,55.591217,38.7985,47.822289,33.476433,12.334667,98.513992,77.65976,187.134964,115.209999,93.051926
"97",26.103203,55.830715,39.289501,47.738068,34.163792,13.074667,96.609642,75.987816,187.134964,116.93,93.955078
"98",25.527657,55.471462,38.910999,48.699261,33.52013,12.453333,95.593407,74.28701,203.956589,119.160004,90.351295
"99",26.507963,57.2677,40.395,48.408096,34.576408,12.828667,98.513992,75.430473,211.649017,122.830002,91.98938
"100",27.289398,58.603367,40.625,47.760021,34.386597,13.515333,99.077606,75.046104,213.344574,125.449997,94.698853
"101",27.434452,58.290169,40.496498,48.173294,34.337097,14.635333,98.983658,75.286339,215.566635,128.350006,94.629333
"102",27.144337,57.387447,40.3885,49.845123,34.37009,15.132667,98.761627,77.015961,216.967667,129.410004,94.673828
"103",28.017023,58.207264,41.493,49.488224,33.874973,15.315333,97.975998,78.601448,219.314682,130.5,92.439194
"104",28.02404,57.387447,41.218498,49.713638,33.949234,16.250668,97.523376,78.534187,206.50882,138.410004,92.982277
"105",28.529402,59.202103,42.848999,50.389885,34.502129,16.834,95.508011,79.985138,213.799652,138.960007,92.857643
"106",30.071215,58.188847,40.912998,49.591537,34.163795,16.77,96.985367,79.081886,205.616409,139.199997,92.688492
"107",31.115646,59.008675,41.502998,51.949013,34.04002,17.946667,97.420906,82.233612,215.557724,144.139999,94.175278
"108",31.804131,59.792694,42.108501,52.869457,33.998745,17.93,100.836769,84.151939,222.598679,142.009995,95.893555
"109",32.111946,59.885384,42.390499,54.344063,34.477379,17.133333,105.501274,85.133926,220.733551,143.25,100.505272
"110",32.845081,59.54248,42.453999,53.420475,35.055027,16.771334,106.412468,85.480499,226.267303,139.139999,102.980286
"111",32.694687,60.172646,43.070499,53.166096,34.898235,16.246,108.492752,86.385468,222.232101,140.889999,101.11956
"112",32.894428,60.117069,43.6185,54.456852,34.989815,17.433332,110.083031,86.87645,218.259491,145.110001,103.282982
"113",33.047157,60.218998,41.757,53.100151,35.064732,17.544001,107.865211,85.865593,204.364395,142.020004,106.229874
"114",33.756783,61.034527,42.389999,52.506577,35.331139,18.553333,107.065758,85.557526,205.536499,147.809998,108.206314
"115",33.681599,60.867714,42.105,51.922436,35.472656,20.169333,107.383827,85.432388,203.890213,143.110001,108.722687
"116",33.326775,60.682384,42.7565,52.987083,35.855606,20.096001,108.071518,86.462486,202.440735,147.25,111.183479
"117",33.75209,62.582169,43.946499,52.26162,36.030422,20.535334,105.638779,88.426453,199.720825,143.830002,110.825539
"118",34.442924,64.324448,46.640999,51.809383,35.980488,21.521999,106.025627,87.858444,201.179138,155.350006,114.100655
"119",35.953823,63.888859,47.934502,51.159294,36.538258,20.479334,105.948257,88.493843,201.340225,156.380005,115.317619
"120",36.736923,63.416237,47.960999,50.659954,36.405052,21.058666,109.163254,89.755013,201.420761,160.020004,114.476486
"121",36.333458,63.798359,48.203499,48.587196,36.779675,20.690001,109.395348,89.991425,193.278778,157.160004,115.192368
"122",36.257946,65.625145,49.808498,49.859116,37.820293,22.34,109.990982,91.351273,196.084,163.220001,118.225853
"123",36.44199,67.591774,49.834,49.613094,38.278168,23.523333,113.209999,92.383224,192.591797,165.169998,117.850014
"124",34.587448,65.848869,48.525002,51.343109,37.795803,25.063334,114.239731,91.698494,201.272949,152.720001,116.49881
"125",34.214653,65.159149,48.449501,48.743359,38.282616,24.816,116.143433,91.023376,202.080902,152.050003,117.981194
"126",33.912643,64.506721,47.404499,50.057411,37.812576,24.158001,116.827034,91.524895,197.753769,151.029999,122.072769
"127",33.997574,64.385544,46.612999,54.415573,37.619541,21.806,115.641541,90.666557,204.720215,147.610001,118.925392
"128",34.38689,66.31488,48.382999,55.039513,37.359337,21.968,114.421463,92.759369,204.136734,158.75,120.391182
"129",35.632698,68.840714,49.6385,54.614098,37.627941,21.684,117.000107,94.755745,200.078964,183.860001,121.776016
"130",36.208401,69.017822,48.265499,55.171879,38.391731,22.923332,113.313828,97.263268,199.522324,189.080002,123.979195
"131",37.076687,67.349449,47.382,56.523758,38.265839,21.726,114.360847,97.677994,203.131302,180.740005,124.069092
"132",38.001606,67.545174,47.004002,56.62775,38.265839,24.235332,115.286766,97.379028,207.386536,175.779999,123.961205
"133",38.124779,69.010727,47.213501,55.342045,38.777836,24.194,116.100166,99.805901,202.538757,169.979996,126.874741
"134",37.895,68.139305,47.129002,50.681362,38.223866,23.518,114.914665,99.670654,199.962265,169.059998,128.448456
"135",38.693268,69.348045,47.181499,49.688736,38.097977,23.545334,114.139137,100.20195,200.356934,174.690002,132.656876
"136",38.1982,69.657257,47.494499,49.698204,38.84499,23.374001,115.114456,101.003708,194.429611,179,132.180328
"137",37.492329,70.060158,47.0065,50.969357,39.010258,25.176001,116.847382,102.472008,204.347473,182.630005,128.457413
"138",36.334015,69.535439,47.377499,50.457096,38.409576,24.431999,114.731308,101.72821,208.347046,188.779999,125.355003
"139",36.307957,69.216873,48.240501,49.925877,37.995018,22.639999,112.745819,101.023048,212.112411,180.699997,122.989967
"140",36.807762,71.184593,49.259499,49.499001,38.511101,23.688667,115.985306,102.626564,221.651932,194.389999,125.836533
"141",36.952248,72.262154,50.282501,48.218361,39.010258,23.712,119.155106,104.432991,216.012878,195.860001,126.541428
"142",36.947506,73.002373,50.091999,49.982792,39.41634,23.454,123.692093,103.380043,216.184067,195.130005,125.059357
"143",37.286247,73.79882,49.570999,53.891109,39.111774,21.744667,123.491776,106.065498,217.742416,195.210007,125.113586
"144",39.820789,78.755608,52.148499,52.287937,38.815666,19.950666,121.854637,107.205376,222.390579,199.320007,128.719269
"145",41.661293,78.793076,52.386002,53.246044,39.111774,20.199333,122.220421,108.32592,216.904663,193.899994,137.195694
"146",40.67474,78.350677,52.4235,54.28952,39.382504,20.833332,120.93158,107.434021,215.625519,195.509995,134.105118
"147",41.594727,78.407158,52.826,56.272144,38.815666,21.036667,120.182663,108.353325,212.5448,195.75,133.111115
"148",40.662849,79.348907,51.253502,56.992023,39.21067,20.435333,122.644661,107.153397,224.959961,186.820007,129.77655
"149",40.263466,79.254715,52.469002,58.343536,38.647713,21.008667,123.179131,108.962967,226.225067,188.539993,128.746338
"150",41.357014,81.787949,53.599998,61.665211,39.398315,22.896667,124.817551,110.143585,232.387894,190.119995,129.008423
"151",41.604237,80.526039,53.443001,60.23756,38.886536,21.68,122.767303,109.050079,234.014435,189.940002,127.110725
"152",40.9505,80.940384,53.6605,60.427914,38.843903,21.368668,121.987579,110.811302,231.03241,201.070007,128.172134
"153",41.442593,83.078079,55.6395,60.998974,39.43243,22.246,126.289536,115.262726,229.469162,209.309998,128.099487
"154",42.576538,84.886169,56.955002,60.732471,39.935677,23.143999,128.777786,118.040016,229.207092,217.5,124.094429
"155",41.416439,86.468262,58.564499,64.720413,40.79718,23.059334,124.475861,120.527,240.07785,261.299988,128.744293
"156",39.80228,89.472343,59.111,64.929817,40.592461,23.620667,121.076363,120.217323,242.07489,270.299988,134.138947
"157",37.92664,84.387054,52.7705,62.464687,38.007992,23,115.144753,115.785248,232.324615,264.559998,127.145927
"158",39.950249,85.918831,53.634998,64.68232,37.61562,21.487333,113.611481,116.927147,237.27655,266,123.040901
"159",41.174751,86.789284,55.494999,63.892376,37.120903,23.077999,113.821739,116.694489,236.23735,278.140015,126.219543
"160",41.771473,87.848953,53.570499,63.121426,37.044144,22.062,112.231552,116.713882,232.686768,290.390015,122.94101
"161",42.234554,89.343857,56.469002,62.15723,37.914154,21.940001,116.446411,118.478165,241.349777,317,129.634338
"162",42.642708,89.107346,57.530499,63.379173,37.57766,21.706667,117.328194,119.63176,241.594437,321.089996,133.185379
"163",40.303509,84.953781,52.657501,61.49852,36.794609,20.606667,112.319733,116.316429,228.899002,306.700012,129.879501
